date;seconds;direction;bid;ask;price
26/03/2001;48867;1;65.85;66.00;66.00
26/03/2001;48904;1;65.85;66.00;66.00
26/03/2001;48924;1;65.85;65.95;65.95
26/03/2001;48941;1;65.85;65.95;66.00
26/03/2001;48952;1;65.85;66.00;66.00
26/03/2001;48960;1;65.85;66.00;66.00
26/03/2001;49220;1;65.85;66.00;66.00
26/03/2001;49229;-1;65.85;66.00;65.85
26/03/2001;49254;1;65.85;66.00;66.09
26/03/2001;49556;1;65.85;66.05;66.05
26/03/2001;49570;1;65.85;66.05;66.05
26/03/2001;49901;1;66.10;66.30;66.30
26/03/2001;49903;1;66.10;66.30;66.30
26/03/2001;50012;1;66.10;66.30;66.30
26/03/2001;50128;1;66.25;66.30;66.30
26/03/2001;50140;1;66.25;66.30;66.30
26/03/2001;50141;1;66.25;66.30;66.30
26/03/2001;50146;-1;66.25;66.30;66.21
26/03/2001;50148;1;66.20;66.30;66.30
26/03/2001;50149;1;66.20;66.30;66.30
26/03/2001;50154;1;66.20;66.30;66.30
26/03/2001;50253;1;66.10;66.20;66.20
26/03/2001;50299;-1;66.10;66.30;66.10
26/03/2001;50592;1;65.95;66.05;66.05
26/03/2001;50616;-1;66.00;66.05;66.00
26/03/2001;50929;1;65.85;66.05;66.05
26/03/2001;51020;1;65.85;66.05;66.05
26/03/2001;51125;1;65.85;66.05;66.05
26/03/2001;51295;1;65.85;66.05;66.05
26/03/2001;51423;1;66.00;66.05;66.05
26/03/2001;51532;1;66.00;66.05;66.05
26/03/2001;51544;1;66.00;66.05;66.05
26/03/2001;51551;1;66.00;66.10;66.10
26/03/2001;51607;1;66.00;66.10;66.10
26/03/2001;51621;1;66.00;66.10;66.10
26/03/2001;52132;1;66.00;66.10;66.10
26/03/2001;52165;-1;66.00;66.10;66.00
26/03/2001;52261;-1;66.00;66.05;66.00
26/03/2001;52267;-1;66.00;66.05;66.00
26/03/2001;52274;-1;66.00;66.05;66.00
26/03/2001;52300;1;66.00;66.05;66.05
26/03/2001;52310;-1;66.00;66.05;66.00
26/03/2001;52361;1;66.00;66.10;66.10
26/03/2001;52399;1;66.00;66.10;66.10
26/03/2001;52508;-1;66.05;66.10;66.05
26/03/2001;52657;-1;66.05;66.10;66.05
26/03/2001;52660;-1;66.00;66.05;66.00
26/03/2001;52670;1;66.00;66.05;66.05
26/03/2001;52774;-1;65.90;66.05;65.90
26/03/2001;52822;1;65.85;66.05;66.05
26/03/2001;52928;1;65.90;66.00;66.00
26/03/2001;53011;1;66.00;66.10;66.10
26/03/2001;53055;1;66.05;66.10;66.10
26/03/2001;53066;1;66.00;66.10;66.10
26/03/2001;53070;1;66.00;66.10;66.10
26/03/2001;53072;1;66.00;66.10;66.10
26/03/2001;53086;1;66.00;66.10;66.10
26/03/2001;53189;1;66.05;66.10;66.10
26/03/2001;53288;1;66.05;66.10;66.10
26/03/2001;53294;1;66.05;66.10;66.10
26/03/2001;53309;1;66.05;66.10;66.10
26/03/2001;53329;-1;66.05;66.30;66.05
26/03/2001;53487;1;66.15;66.30;66.30
26/03/2001;53573;1;66.20;66.25;66.25
26/03/2001;53601;-1;66.25;66.35;66.25
26/03/2001;53633;1;66.25;66.30;66.30
26/03/2001;53651;1;66.25;66.30;66.30
26/03/2001;53662;1;66.25;66.30;66.30
26/03/2001;53798;1;66.25;66.30;66.30
26/03/2001;53813;-1;66.25;66.30;66.23
26/03/2001;53825;-1;66.25;66.30;66.25
26/03/2001;53927;1;66.20;66.25;66.25
26/03/2001;53940;1;66.20;66.25;66.25
26/03/2001;54139;1;66.20;66.25;66.25
26/03/2001;54314;1;66.20;66.25;66.25
26/03/2001;54379;-1;66.20;66.30;66.20
26/03/2001;54400;-1;66.20;66.30;66.20
26/03/2001;54483;-1;66.20;66.30;66.20
26/03/2001;54503;-1;66.20;66.30;66.20
26/03/2001;54584;-1;66.20;66.30;66.20
26/03/2001;54616;1;66.15;66.20;66.20
26/03/2001;54631;1;66.15;66.20;66.20
26/03/2001;54700;-1;66.20;66.25;66.20
26/03/2001;54784;-1;66.15;66.20;66.15
26/03/2001;54822;1;66.15;66.20;66.20
26/03/2001;54824;-1;66.15;66.25;66.13
26/03/2001;54868;-1;66.05;66.25;66.05
26/03/2001;55046;-1;66.10;66.20;66.10
26/03/2001;55066;-1;66.10;66.20;66.10
26/03/2001;55130;-1;66.10;66.20;66.10
26/03/2001;55214;-1;66.05;66.10;66.05
26/03/2001;55279;1;66.05;66.15;66.15
26/03/2001;55392;1;66.05;66.15;66.15
26/03/2001;55419;1;66.05;66.15;66.15
26/03/2001;55456;1;66.05;66.15;66.15
26/03/2001;55611;1;66.10;66.15;66.15
26/03/2001;55620;1;66.10;66.15;66.15
26/03/2001;55623;1;66.10;66.15;66.15
26/03/2001;55648;1;66.10;66.15;66.15
26/03/2001;55667;1;66.10;66.15;66.15
