date;time;price;q;direction
19/09/2003;103059;137.6;32;1
19/09/2003;103104;137.6;60;1
19/09/2003;103208;137.5;76;-1
19/09/2003;103215;137.6;400;1
19/09/2003;103229;137.6;421;1
19/09/2003;103238;137.6;526;1
19/09/2003;103301;137.5;47;-1
19/09/2003;103305;137.6;72;1
19/09/2003;103306;137.6;1456;1
19/09/2003;103344;137.7;250;1
19/09/2003;103348;137.7;1911;1
19/09/2003;103402;137.7;48;1
19/09/2003;103418;137.7;5;1
19/09/2003;103438;137.7;50;1
19/09/2003;103446;137.7;25;1
19/09/2003;103504;137.7;1065;1
19/09/2003;103520;137.6;1051;-1
19/09/2003;103523;137.7;10;1
19/09/2003;103537;137.7;4575;1
19/09/2003;103540;137.7;1000;1
19/09/2003;103540;137.6;115;-1
19/09/2003;103553;137.6;150;-1
19/09/2003;103628;137.6;720;-1
19/09/2003;103642;137.7;627;1
19/09/2003;103643;137.7;1142;1
19/09/2003;103729;137.7;339;1
19/09/2003;103820;137.7;2523;1
19/09/2003;103823;137.7;500;1
19/09/2003;103829;137.8;463;1
19/09/2003;103835;137.8;222;1
19/09/2003;103842;137.7;500;-1
19/09/2003;103902;137.8;1075;1
19/09/2003;103909;137.8;66;1
19/09/2003;103910;137.8;268;1
19/09/2003;103920;137.8;109;1
19/09/2003;103929;137.8;500;1
19/09/2003;103935;137.8;8;1
19/09/2003;103936;137.8;2000;1
19/09/2003;103948;137.8;1549;1
19/09/2003;103948;137.8;40;-1
19/09/2003;104011;137.8;155;-1
19/09/2003;104012;137.7;200;-1
19/09/2003;104027;137.8;5;1
19/09/2003;104048;137.8;20;1
19/09/2003;104049;137.7;4;-1
19/09/2003;104051;137.7;7000;-1
19/09/2003;104055;137.7;1130;-1
19/09/2003;104105;137.7;1753;-1
19/09/2003;104117;137.6;50;-1
19/09/2003;104136;137.7;1551;1
19/09/2003;104157;137.7;35;-1
19/09/2003;104237;137.7;64;-1
19/09/2003;104310;137.7;10;-1
19/09/2003;104321;137.7;690;-1
19/09/2003;104330;137.8;100;1
19/09/2003;104334;137.7;614;-1
19/09/2003;104408;137.8;740;1
19/09/2003;104417;137.8;614;1
19/09/2003;104447;137.8;3;1
19/09/2003;104517;137.8;1000;1
19/09/2003;104528;137.7;500;-1
19/09/2003;104550;137.7;751;-1
19/09/2003;104625;137.7;6;-1
19/09/2003;104658;137.7;80;-1
19/09/2003;104659;137.7;420;1
19/09/2003;104659;137.7;71;1
19/09/2003;104700;137.7;340;1
19/09/2003;104702;137.7;1000;1
19/09/2003;104702;137.7;298;1
